project_id,title,description
56,Event Data Analysis using AWS ELK Stack,"In this pre-built big data industry project, we extract real time streaming event data from New York City accidents dataset API. We then process the data on AWS to extract KPIs and metrics which will eventually be pushed to Elasticsearch for text based search and analysis using Kibana visualization.
This is an end-to-end project pipeline right from Data extraction - Cleaning - Transformation - Exploratory analysis - Visualisation - Data flow orchestration of event data on the cloud."
57,Natural language processing Chatbot application using NLTK for text classification,"Human language is astoundingly complex and diverse. When we write, we often misspell or abbreviate words, or omit punctuation. There is a lot of unstructured data around us. Natural language processing helps computers communicate with humans in their own language and scales other language-related tasks. NLP makes it possible for computers to read text, interpret it, measure sentiment and determine which parts are important.
Understanding this will enable you to build the core component of any conversational chatbot. In this NLP application we will create the core engine of a chat bot. We will learn text classification using the techniques of natural language processing by using the nltk library."
58,NLP Project to Build a Resume Parser in Python using Spacy,"Imagine working as an intern in a company's Human Resource Department, and you have been provided with a massive pile of about 1000 resumes. Your task is to prepare a list of candidates suitable for the software engineer role. Now, since this company didn't provide the candidates with a resume format, it is your job to analyze each resume manually. How tiring, right? Well, there is an easy way out: building a Resume Parsing Application that takes resumes as input, then extracts and analyses all the valuable information from it. Companies' recruiters and HR teams have a tough time scanning thousands of qualified resumes. They either need many people to do this or miss out on qualified candidates. Spending too many labor hours segregating candidates' resume's manually is a waste of a company's time, money, and productivity. We thus suggest you work on this Resume Parsing project that can automate the segregation task and save companies a lot of time.

Resume Parsing in Python Project Objective
This project uses Python's library, SpaCy to implement various NLP (natural language processing) techniques like tokenization, lemmatization, parts of speech tagging, etc., for building a resume parser in Python. And, considering all the resumes are submitted in PDF format, you will learn how to implement optical character recognition (OCR) for extracting textual data from the documents. The resulting application will require minimum human intervention to extract crucial information from a resume, such as an applicant's work experience, name, geographical location, etc. It is one of the most exciting NLP projects for beginners, so make sure you attempt it.

To solve this, our resume parser application can take in millions of resumes, parse the needed fields and categorise them. This resume parser uses the popular python library - SpaCy for OCR and text classifications. First, we train our model with these fields, then the application can pick out the values of these fields from new resumes being input.
The dataset of resumes has the following fields:

Location
Designation
Name
Years of Experience
College
Degree
Graduation Year
Companies worked at
Email address

NLP Tools and Techniques You Will Master in this SpaCy Resume Parser Project
Here is an introduction to the exciting concepts you will learn when building a python resume parser application system.&nbsp;
Tokenization
It is the process of splitting textual data into different pieces called tokens. One can either break a sentence into tokens of words or characters; the choice depends on the problem one is interested in solving. It is usually the first step that is performed in any NLP project, and the same will be the case with this resume parser using NLP project. Tokenization helps in further steps of an NLP pipeline which usually involves evaluating the weights of all the words depending on their significance in the corpus.
Lemmatization
The larger goal of this resume parsing python application is to decode the semantics of the text. For that, the form of the verb that is used does not have a significant impact. Therefore, lemmatization is used to convert all the words into their root form, called 'lemma.' For example, 'drive,' 'driving, 'drove' all have the same lemma 'drive.'
Parts-of-Speech Tagging
If you consider the word ""Apple,"" it can have two meanings in a sentence. Depending on whether it has been used as a proper noun or a common noun, you will understand whether one is discussing the multinational tech company or the fruit. This CV parser python project will understand how POS Tagging is implemented in Python.
Stopwords Elimination
Stopwords are the words like 'a', 'the,' 'am', 'is', etc., that hardly add any meaning to a sentence. These words are usually deleted to save on processing power and time. In their CV, an applicant may submit their work experience in long paragraphs with many stopwords. For such cases, it becomes essential to know how to extract experience from a resume in python, which you will learn in this project.
SpaCy
SpaCy is a library in Python that is widely used in many NLP-based projects by data scientists as it offers quick implementation of techniques mentioned above. Additionally, one can use SpaCy to visualize different entities in text data through its built-in visualizer called displacy. Furthermore, SpaCy supports the implementation of rule-based matching, shallow parsing, dependency parsing, etc. This NLP resume parser project will guide you on using SpaCy for Named Entity Recognition (NER).
OCR using TIKA
You will use Apache Tika, an open-source library for implementing OCR in this project. OCR stands for optical character recognition. It involves converting images into text and will be used in this resume extraction python project for decoding text information from the PDF files. The textual data is processed using various NLP methods to extract meaningful information.
Machine Learning Pipeline
As this project is about resume parsing using machine learning and NLP, you will learn how an end-to-end machine learning project is implemented to solve practical problems. Different machine learning algorithms Neural Networks using SpaCy library are used in this project to build a model that can pull out relevant fields like location, name, etc., from different resumes of different formats.
Scaling up the Resume Parser in Python!
This project lays out the solution for a small dataset. However, if you are interested in building a production-ready model for resume parsing in Python that can analyze millions of resume documents, then refer to Model Deployment on GCP using Streamlit for Resume Parsing.&nbsp;Please keep in mind that before you deploy this model for large-scale r&eacute;sum&eacute;s, you will need to tag them and make the model learn any new entities which might have been added.&nbsp;
&nbsp;
Frequently Asked Questions on Resume Parser in Python
&nbsp;
1) How do you extract skills from a resume using Python?
The first step in extracting skills or any other entity from a resume is to do data preprocessing and applying techniques like tokenization, lemmatization, pos tagging, stopwords elimination, etc. with the help of the library, SpaCy. &nbsp;Post this, you can apply neural networks to tag entities and make the model learn from custom tags or you can then use an existing Neural Networks model to do the predictions.
&nbsp;
2) &nbsp;How do you parse a resume in Python?
To parse a resume in Python, especially for PDFs,&nbsp;one needs to perform optical character recognition (OCR) to extract text from the documents. You can use Apache Tika or Tesseract library for extracting the text out of these PDFs. If the resume is in a word document, then you need to write a code that can read a document and extract text from it."
59,Customer Market Basket Analysis using Apriori and Fpgrowth algorithms,"Analysis of historical customer data can highlight if a certain combination of products purchased makes an additional purchase more likely. This is called market basket analysis (also called as MBA). It is a widely used technique to identify the best possible mix of frequently bought products or services. This is also called product association analysis. The set of items a customer buys is referred to as an itemset, and market basket analysis seeks to find relationships between purchases. Market Basket Analysis creates If-Then scenario rules, for example, if item A is purchased then item B is likely to be purchased. The rules are probabilistic in nature or, in other words, they are derived from the frequencies of co-occurrence in the observations. Market Basket analysis is particularly useful for physical retail stores as it can help in planning floor space and product placement amongst many other benefits."
60,Topic modelling using Kmeans clustering to group customer reviews,"Topic modelling is a method for finding a group of words (i.e. topics) from a collection of documents that best represents the information in the collection of text documents. It can also be thought of as a form of text mining - a way to obtain recurring patterns of words in textual data. The topics identified are crucial data points in helping the business figure out where to put their efforts in improving their product or services.In this project we will use unsupervised technique - Kmeans, to cluster/ group reviews to identify main topics/ ideas in the sea of text. This will be applicable to any textual reviews. In this series, we will focus on twitter data which is more real world and more complex data compared to reviews obtained from review or survey forms.Topic modelling provides us with methods to organize, understand and summarize large collections of textual information. It helps in:Discovering hidden topical patterns that are present across the collectionAnnotating documents according to these topicsUsing these annotations to organize, search and summarize texts"
61,Demand prediction of driver availability using multistep time series analysis,"Food delivery supported through advanced applications has emerged as one of the fastest growing developments in the e-commerce space. We all love to order online, one thing that we don't like to experience is variable pricing for delivery charges. Delivery charges highly depend on the availability of riders in your area, demand of orders in your area, and distance covered. Due to driver unavailability, there is a surge in delivery pricing and many customers drop off resulting in loss to the company.
To tackle such issues if we track the number of hours a particular delivery executive is active, we can efficiently allocate certain drivers to a particular area depending on demand."
62,Build a Collaborative Filtering Recommender System in Python,"Recommender systems are an integral part of many online systems. From e-commerce to online streaming platforms. Recommender systems employ the past purchase pattern on its user to predict which other products they may be interested in and likely to purchase. Recommending the right products gives a significant advantage to the business. A major portion of the revenue is generated through recommendations.
The Collaborative Filtering algorithm is very popular in online streaming platforms and e-commerce sites where the customer interacts with each product (which can be a movie/ song or consumer products) by either liking/ disliking or giving a rating of sorts. One of the requirements to be able to apply collaborative filtering is that sufficient number of products need ratings associated with not them. User interaction is required.
This machine learning project walks you through the implementation of collaborative filtering using memory based technique of distance proximity using cosine distances and nearest neighbours."
63,"Build a big data pipeline with AWS Quicksight, Druid, and Hive","In this Big Data project, a senior Big Data Architect will demonstrate how to implement a Big Data pipeline on AWS at scale. You will be using the Aviation dataset. Analyse Aviation data using highly competitive technology big data stack such as NiFi, Kafka, HDFS ,Hive, Druid, AWS quicksight to derive metrics out of the existing data . Big data pipelines built on AWS to serve both batch and real time streaming ingestions of the data for various consumers according to their needs . This project is highly scalable and implemented on a very large scale organisation set up ."
64,AWS Project - Build an ETL Data Pipeline on AWS EMR Cluster,"In this Big Data project, a senior Big Data Architect will demonstrate how to implement a Big Data pipeline on AWS at scale. You will be using the sales dataset. Analyse sales data using highly competitive technology big data stack such as Amazon S3, EMR , Tableau to derive metrics out of the existing data . Big data pipelines built on AWS to serve batch ingestions of the data for various consumers according to their needs . This project is highly scalable and implemented on a very large scale organisation set up."
65,NLP Project on LDA Topic Modelling Python using RACE Dataset,"Business Context&nbsp;
With the advent of big data and Machine Learning along with Natural Language Processing, it has become the need of an hour to extract a certain topic or a collection of topics that the document is about. Think when you have to analyze or go through thousands of documents and categorize under 10 &ndash; 15 buckets. How tedious and boring will it be ?
Thanks to Topic Modeling where instead of manually going through numerous documents, with the help of Natural Language Processing and Text Mining, each document can be categorized under a certain topic.
Thus, we expect that logically related words will co-exist in the same document more frequently than words from different topics. For example, in a document about space, it is more possible to find words such as: planet, satellite, universe, galaxy, and asteroid. Whereas, in a document about the wildlife, it is more likely to find words such as: ecosystem, species, animal, and plant, landscape. A topic contains a cluster of words that frequently occurs together. A topic modeling can connect words with similar meanings and distinguish between uses of words with multiple meanings.
A sentence or a document is made up of numerous topics and each topic is made up of numerous words.
Data Overview
The dataset has odd 25000 documents where words are of various nature such as Noun,Adjective,Verb,Preposition and many more. Even the length of documents varies vastly from having a minimum number of words in the range around 40 to maximum number of words in the range around 500. Complete data is split 90% in the training and the rest 10% to get an idea how to predict a topic on unseen documents.
Objective&nbsp;
&nbsp; To extract or identify a dominant topic from each document and perform topic modeling.
Tools and Libraries
We will be using Python as a tool to perform all kinds of operations.
Main Libraries used are

Pandas for data manipulation, aggregation
Matplotlib and bokeh for visualization of how documents are structured.
NumPy for computationally efficient operations.
Scikit Learn and Gensim packages for topic modeling
nltk for text cleaning and preprocessing
TSNE and pyLDAvis for visualization of topics

Approach&nbsp;
Topic EDA

Top Words within topics using Word Cloud
Topics distribution using t-SNE
Topics distribution and words importance within topics using interactive tool pyLDAvis

Documents Pre-processing&nbsp;

Lowering all the words in documents and removing everything except alphabets.
Tokenizing each sentence and lemmatizing each word and storing in a list only if it is not a stop word and length of a word is greater than 3 alphabets.
Joining the list to make a document and also keeping the lemmatized tokens for NMF Topic Modelling.
Transforming the above pre-processed documents using TF IDF and Count Vectorizer depending on the chosen algorithm

&nbsp;Topic Modelling algorithms&nbsp;

Latent Semantic Analysis or Latent Semantic Indexing (LSA)
Latent Dirichlet Allocation (LDA)
Non-Negative Matrix Factorization (NMF)
Popular topic modelling metric score known as Coherence Score
Predicting a set of topics and the dominant topic for each documents
Running a python script end to end using Command Prompt

Code Overview

Complete dataset is splitted into 90% for training and 10% for predicting unseen documents.
Preprocessing is done to avoid noise


Lowering all the words and replacing words in their normal form and keeping only alphabets.
Making a new document after tokenizing each sentence and lemmatizing every word.&nbsp;


For LSA and LDA Topic Modeling


&nbsp;TF IDF Vectorizer and Countvectorizer is fitted and transformed on a clean set of documents and topics are extracted using sklean LSA and LDA packages respectively and proceeded with 10 topics for both the algorithms.


For NMF Topic Modeling


TF IDF Vectorizer is fitted and transformed on clean tokens and 13 topics are extracted and the number was found using Coherence Score.


Topics distribution is analyzed using t-SNE algorithm and iterative tool using pyLDAvis.
For unseen documents, topics were predicted using the above three algorithms.
"
66,Ola Bike Rides Request Demand Forecast,"Project Description
The taxi service (ride-hailing) industry is growing for the last couple of years and it is expected to grow in near future. Taxi drivers need to choose where to hang tight for passengers as they can get somebody quickly. Passengers also prefer a quick taxi service whenever needed. We all have faced problems with taxi booking requests, that sometimes cannot be fulfilled or the wait time for ride arrival is very long due to the unavailability of a nearby taxi. One should feel fortunate in the event that you get a taxi booked in one go.
Taxi demand prediction has become extremely important for taxi-hailing (and e-haling) companies to understand their demand and optimize their fleet management.
To handle such issues, we would be building a model based on users ride request dataset, which would contain attributes: ride booking time, pickup point, and drop point latitude-longitude. This model would forecast the demand, for a particular time in different areas of the city which would help the company optimize taxi concentration to fulfill users demand.
Business ProblemOla Bikes are suffering losses and losing out from their competition due to their inability to fulfil the ride requests of many users. To tackle this problem, you are asked to predict demand for rides in a certain region and a given future time window. This would help them allocate drivers more intelligently to meet the ride requests from users.
Goal
You have to predict ride requests (demand forecast) for a particular latitude
and longitude for a requested future time window/duration.
Data Description
Raw Data contains a `number` (unique for every user), ride request DateTime (IST time),
pickup and drop location latitude, and longitude.
Data Fields 

number: unique id for every user
ts: DateTime of booking ride (IST time)
pick_lat: ride request pickup latitude
pick_lng: ride request pickup longitude
drop_lat: ride request drop latitude
drop_lng: ride request drop longitude

Defining a Good Ride Request
Ola Management knows the task is not easy and very important for their business to grow.
Hence, their business team has provided you some guidelines to follow.

Count only 1 ride request by a user, if there are multiple bookings from the same latitude and longitude within 1hour of the last booking time.
If there are ride requests within 8mins of the last booking time consider only 1 ride request from a user (latitude and longitude may or may not be the same).
If the geodesic distance from pickup and drop point is less than 50meters consider that ride request as a fraud ride request.
Consider all ride requests where pick up or drop location is outside India bounding box: [""6.2325274"", ""35.6745457"", ""68.1113787"", ""97.395561""] as system error.
Karnataka is our prime city where we have a lot of drivers and ride requests to fulfil. We would not love to serve rides that are outside Karnataka and have pickup and drop geodesic distance &gt; 500kms. Karnataka bounding box: [""11.5945587"", ""18.4767308"",""74.0543908"", ""78.588083""]

Predict Task to test your model
After model development, Ola has requested us to build a prediction pipeline for the deployment of the model. To test our prediction pipeline, they have provided us clean data (filtered rides requests data based on good ride definition conditions) of 2021-03-26 based on which they have requested us to predict/show initial hours rides request demand forecast for 2021-03-27.
&nbsp;"
67,GCP Data Ingestion with SQL using Google Cloud Dataflow,"What is Data Ingestion?
Data Ingestion is defined as the transportation of data from various assorted sources to the storage medium where it can be thoroughly accessed and analyzed by any organization. The storage medium acts as a destination which is typically the data warehouse, database, data mart or any document store. The data can come from various sources such as RDBMS and other different types of databases like S3 buckets, CSVs files etc.
Data Pipeline:
It refers to a system for moving data from one system to another. The data may or may not be transformed, and it may be processed in real-time (or streaming) instead of batches. Right from extracting or capturing data using various tools, storing raw data, cleaning, validating data, transforming data into query worthy format, visualisation of KPIs including Orchestration of the above process is data pipeline.
What is the Agenda of the project?
The agenda of the project involves Data ingestion and processing pipeline on Google cloud platform with real-time streaming and batch loads. .Yelp dataset, which is used for academics and research purposes is used. We first create a service account on GCP followed by downloading Google Cloud SDK(Software developer kit). Then, Python software and all other dependencies are downloaded and connected to the GCP account for further processes. Then, the Yelp dataset is downloaded in JSON format, is connected to Cloud SDK following connections to Cloud storage which is then connected with Cloud Composer and Yelp dataset JSON stream is published to PubSub topic. Cloud composer and PubSub outputs are Apache Beam and connecting to Google Dataflow. Google BigQuery receives the structured data from workers. Finally., the data is passed to Google Data studio for visualization.
Usage of Dataset:
Here we are going to use Yelp data in JSON format in the following ways:
- Yelp dataset File: In Yelp dataset File, JSON file is connected to Cloud storage Fuse or Cloud SDK to the Google cloud storage which stores the incoming raw data followed by connections to Google Cloud Composer or Airflow to the Google cloud storage for scheduling and orchestration to batch workloads.
- Yelp dataset Stream: In Yelp dataset Stream, JSON Streams are published to Google PubSub topic for real-time data ingestion followed by connections to Apache beam for further processing.
Data Analysis:
- From the given website, the Yelp dataset is downloaded in JSON format. The Yelp JSON file is connected to Google SDK or GcsFuse for transfer of data to Google cloud storage which is connected to Google Cloud composer/Airflow for scheduling and orchestration of batch workloads.
- Yelp dataset JSON streams are published to Google PubSub which is used for real-time ingestion or streaming datasets.
- Data pipeline is created by apache beam which receives the real-time data from Google PubSub and the data from Google cloud storage as inputs which are followed by creating Google dataflow stream job and batch job scaling the compute based on throughput.
- Apache beam orchestrates stream and batch jobs following the output of Google Dataflow to workers.
- Google BigQuery acts as a Data warehouse storing structured data which receives the input from workers and queries the data.
- Finally data is visualized using different graphs and table definitions in Google Data Studio."
68,Building Real-Time AWS Log Analytics Solution,"Business ProblemThe common big data use case that we are going to take is &ldquo;Log Analytics&rdquo; where there is a requirement for analysing the log data which comes from various sources such as websites, mobile devices, sensors and applications. The tracking of application availability, fraud detection, and SLA monitoring can be achieved using log analytics. Automated trigger can be setup. The logs from different sources can be transformed to common format for easy query execution.Project Architecture&nbsp;Solution by using AWS Native Services: As now a days various applications are running over the cloud so the logs from these applications can be parsed and stored in S3. End to end log analytics solution that collects, ingests, processes and loads both the batch data and streaming data. Processed data will be available to users in near real time. The solution is highly reliable, cost effective, scales automatically to varying data volumes and require almost no IT administration.&nbsp;Services that we are going to use:Amazon S3 &ndash; This is easy to use service with a simple web services interface to store and retrieve any amount of data from anywhere on the web. It is a safe place to store the files. The data is spread across multiple devices and facilities, this is object based service and the file size can be from 0 bytes to 5 TB for uploading. There is unlimited storage and the files are stored in buckets.AWS IAM &ndash; This is nothing but identity and access management which enables us to manage access to AWS services and resources securely. We can create and manage AWS users and groups, use permissions to allow and deny their access to AWS resources. It is a feature of AWS with no additional charge.AWS EC2 &ndash; It is a service which provides resizable compute capacity in cloud and designed to make web-scale cloud computing easier. We can launch instances with a variety of operating systems.AWS kinesis firehose &ndash; In this the delivery stream is the underlying entity of firehose. Use the firehose by creating a delivery stream to a specified destination and send the data to it. The record is the data of interest which is our data producer sends to a delivery stream which can be large as 1000KB. The data producers send records to a delivery stream.AWS Glue &ndash; It is a fully managed ETL service in which we can categorise our data, clean it, enrich it and move it reliably between various data stores. It is simple and cost effective.AWS Athena &ndash; It is an interactive query service for S3 in which there is no need to load data it stays in S3. It is server less and supports many data formats e.g CSV, JSON, ORC, Parquet, AVRO.AWS Cloud Watch &ndash; It monitors our AWS resources and applications that we run on AWS in real time.&nbsp;Project Execution:Go to AWS Console and create a S3 bucket with a unique name.After that create IAM policy and role, remember we are creating the role and policy for EC2.Create an EC2 instance using the free tier storage and Amazon Linux os for it.Create a Glue database and table which is used for logs and also edit the table properties in it.Create a kinesis firehose Delivery stream and configure that stream for S3 and other things.Install the kinesis agent on the EC2 instance using External terminal (e.g Putty) and update the agent.json file into it.Start the kinesis agent by using the command and after that create a app.log file update the log file with logs.Open a duplicate terminal window run the command for reading the logs of kinesis agent.After the logs transformed and sent successfully, go to AWS S3 and see if the bucket is being updated with the &ldquo;parquet&rdquo; log file.We can check the log file which is in S3 with Query with S3 and with Athena query editor. "
69,"Build a Similar Images Finder with Python, Keras, and Tensorflow","Business Objective
&nbsp;We are all aware of how online shopping and e commerce is growing rapidly. Hence, it is imperative for computer vision systems to automatically and accurately recognize products based on images at the stock keeping unit (SKU) level. This project mainly focuses on meeting this market need. The core idea of this project is search and find images of&nbsp; products similar to any given image of a product.

Goal
To find images similar to any given image from the database
&nbsp;
Tech Stack 

Language : Python
Cloud support : AWS
Libraries : Elasticsearch, Tensorflow, Keras, Numpy, Pandas, Requests, Scikit-learn

&nbsp;
Data Overview
The dataset includes images from 2,019 product categories with one ground truth class label for each image. It includes a total of 1,011,532 images for training, 10,095 images for validation and 90,834 images for testing.
It is to be noted that for each image,only the URL is provided. Users need to download the images by themselves. It is also to be noted that the image URLs may become unavailable over time.
&nbsp;
Data Source : https://www.kaggle.com/c/imaterialist-product-2019/overview
&nbsp;
Approach

Download images from label_id - Downloading all the images using the given URLs of images.
Indexing using ElasticSearch - Feature extraction is done using the weights of imagenets from MobileNetV
Image2Image Query - Use K Nearest Neighbour in Elastic search to find K nearest vectors which are having maximum similarity for the queried image.
"
70,Medical Image Segmentation Deep Learning Project,"Business Objective 
Machine learning and deep learning technologies are increasing at a fast pace with respect to the domain of healthcare and medical sciences. These technologies sometimes even out perform medical doctors by producing results that might not be easily notable to a human eye. Polyp recognition and segmentation is one such technology which helps doctors identify polyps from colonoscopic images. 
Data Overview 
CVC-Clinic database consists of frames extracted from colonoscopy videos. The dataset contains several examples of polyp frames &amp; corresponding ground truth for them.
The Ground Truth image consists of a mask corresponding to the region covered by the polyp in the image.&nbsp; The data is available in both .png and .tiff formats
Aim 
To segment the polyps from colonoscopy images
Tech Stack 
Language used : Python
Deep learning library used : Pytorch
Computer vision library used : OpenCV
Other python libraries :&nbsp; Scikit-learn, pandas, numpy, albumentations etc. 
Approach 

Data Understanding :

Understanding the essence of the dataset 

Understanding evaluation metrics:

Understanding the metrics that are going to be used for evaluating the predictions

Unet Architecture :

Understanding Unet architecture and why is it preferred widely in building deep learning models with respect to medical sciences.

Unet ++ :

Understanding Unet++ and how is it different from Unet

Environment Setup :

Setting up a working environment for the project

Data Augmentation :

Creating new data by making modifications on the existing data

Model building :

Building Unet ++ model using pytorch

Model Training

Training the model. ( A GPU might be required since model training takes a really long time in CPUs)

Model Prediction

&nbsp;"
71,Image Segmentation using Mask R-CNN with Tensorflow,"Business Objective
Fire is one of the deadliest risks any person can encounter in his life. In a concise time frame, fire can wreck an area, say in a forest, hut, house, building, etc. Fire can lead to the loss of expensive property, and in the worst possible scenario, it can also lead to the loss of human life. Detecting fire thus becomes a significant concern.
&nbsp;
Our project will carry out fire detection by adopting an RGB (Red, Green, Blue) model based on chromatic and disorder measurement for extracting fire pixels and smoke pixels. Our main aim is to locate the position where the fire is present, which will help the authorities take proper measures to avoid any loss. To prevent this, we will build an early fire detection using image segmentation with the help of the mrcnn model. 
&nbsp;
Image Localization helps to detect the location of a single object in any given image. In our case, image localization can locate the fire in a given image.
We will be using image segmentation, in which we group a similar set of pixels, i.e., divide the image into segments and thus make use of the essential segments. Hence image segmentation is used in this project as it gives us the desired location of our object in the image. 
&nbsp;
Further, we will use the Mask RCNN model to train and build predictions over our input images. Mask RCNN is a deep neural network algorithm that is used for solving segmentation problems. 
&nbsp;
This project aims to build a deep neural network model that will give the best accuracy in detecting fire in an image.
&nbsp;
Data Description&nbsp;
&nbsp;

In this case, we use 20 fire images for the training set and ten fire images for the validation set, and one image for test data. These images can be JPG, PNG, TIF formats.
Via_project.json is the annotation file containing the region of interest marked.

&nbsp;
Aim
This project aims to make predictions over images and detect mask and bounding boxes around the area of interest, i.e., mask and bounding around the fire in a given image.&nbsp;
Tech stack

Language - Python
Libraries &ndash; numpy, keras, tensorflow, mrcnn, scikit-image, etc (as mentioned in the requirements.txt file) 

Approach

Install the requirements.txt file.
Import the required libraries.
Using the VGG Annotator, create annotations and save them in the JSON files. Then creating a class to add these annotations and use them. (Link for the VGG Annotator - https://www.robots.ox.ac.uk/~vgg/software/via/via_demo.html)
Define LoadDatatset class for loading of image data and annotations for train and inference data.
The setting of the root directory for the project and the path of the weights file.
Define config class for setting configuration for training on the dataset. 
Define the LoadBackBone for train and inference data class, for loading the backbone pre-trained weights to extract features.
Model Building (Using Mask RCNN)


Overtraining data images
Over validation data images.


Predict the mask and then plot it over the test data images.
"
72,Digit Recognition using CNN for MNIST Dataset in Python,"Business Overview
&nbsp;
The Modified National Institute of Standards and Technology dataset popularly known as MNIST dataset is widely used as a standard dataset in deep learning. &nbsp;The dataset was released in 1999. The classic dataset serves as a basis for testing most of the classification algorithms. In the emerging field of machine learning the MNIST dataset remains one of the reliable resources to test the new techniques. The training dataset contains 60,000 and the testing dataset contains 10,000 grayscale images of handwritten digits between 0 to 9 each of 28x 28 pixels. 
&nbsp;
&nbsp;
Aim: To correctly identify handwritten digits from the MNIST dataset. 
&nbsp;
&nbsp;
Data Description 
The Modified National Institute of Standards and Technology dataset popularly known as MNIST dataset is widely used as a standard dataset in deep learning. &nbsp;The dataset was released in 1999. The training dataset contains 60,000 and the testing dataset contains 10,000 grayscale images of handwritten digits between 0 to 9 each of 28x 28 pixels. 
&nbsp;
&nbsp;
Tech Stack

Language : Python
Libraries : pandas, numpy, tensorflow, matplotlib, seaborn, scikit-learn

&nbsp;
&nbsp;
Approach 
&nbsp;

Data visualization

&nbsp;

Data preprocessing

Reshaping data
One hot encoding
Feature Scaling


&nbsp;

CNN model creation and building on training data

&nbsp;

Model validation

Confusion matrix
Classification report
Loss over training and validation dataset
Accuracy over training and validation dataset


&nbsp;

Model prediction over individual images

&nbsp;"
